"Symbol","Name","Sector","Industry","PE_Ratio","PEG_Ratio","Price_to_Book","Price_to_Sales","EV_to_EBITDA","EV_to_Revenue","Profit_Margin","Operating_Margin","Return_on_Assets","Return_on_Equity","Revenue_Growth_YOY","EPS_Growth_YOY","Current_Ratio","Debt_to_Equity","Interest_Coverage","Dividend_Yield","Dividend_Per_Share","Dividend_Payout_Ratio","Beta","Fifty_Two_Week_High","Fifty_Two_Week_Low","Market_Cap","EBITDA","Revenue_TTM"
"TMO","Thermo Fisher Scientific Inc","LIFE SCIENCES","MEASURING & CONTROLLING DEVICES, NEC",31.54,2.018,3.972,4.593,19.3,5.19,0.148,0.193,0.0489,0.131,0.047,0.138,NA,NA,NA,0.0034,1.56,NA,0.789,626.49,492.52,196949098000,1.0774e+10,42879001000
"IT","Gartner Inc","TRADE & SERVICES","SERVICES-MANAGEMENT SERVICES",28.57,1.99,25.85,5.61,20.98,5.76,0.2,0.189,0.0891,1.229,0.081,0.932,NA,NA,NA,NA,NA,NA,1.291,584.01,411.15,35137413000,1308815000,6267411000
"TSN","Tyson Foods Inc","MANUFACTURING","POULTRY SLAUGHTERING AND PROCESSING",20.23,0.544,1.153,0.398,8.79,0.538,0.0196,0.0504,0.0348,0.0582,0.023,2.367,NA,NA,NA,0.0333,1.97,NA,0.71,65.82,52.36,21328896000,3.403e+09,53612999000
"WBA","Walgreens Boots Alliance Inc","TRADE & SERVICES","RETAIL-DRUG STORES AND PROPRIETARY STORES",NA,3.553,0.977,0.0646,-22.57,0.261,-0.0587,-0.0013,0.0055,-0.808,0.075,1.915,NA,NA,NA,0.089,1,NA,0.598,20.61,7.98,9710973000,2.823e+09,150410002000
"PH","Parker-Hannifin Corporation","MANUFACTURING","MISCELLANEOUS FABRICATED METAL PRODUCTS",25.13,2.453,5.97,3.932,16.35,4.366,0.159,0.206,0.0878,0.259,-0.016,0.386,NA,NA,NA,0.0107,6.37,NA,1.495,716.75,489.03,78273667000,4983439000,19907748000
"ULTA","Ulta Beauty Inc","TRADE & SERVICES","RETAIL-RETAIL STORES, NEC",14.1,2.362,6.66,1.468,9.64,1.576,0.106,0.148,0.167,0.504,-0.019,0.047,NA,NA,NA,NA,NA,NA,1.34,544.36,309.01,16577242000,1832014000,11295654000
"MLM","Martin Marietta Materials Inc","ENERGY & TRANSPORTATION","MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)",14.73,3.584,3.08,4.454,10.26,5.24,0.305,0.277,0.0557,0.228,0.014,0.052,NA,NA,NA,0.0066,3.06,NA,0.887,631.36,448.5,29112084000,2.057e+09,6.536e+09
"ROL","Rollins Inc","TRADE & SERVICES","SERVICES-TO DWELLINGS & OTHER BUILDINGS",53.54,3.917,18.74,7.36,33.27,7.57,0.138,0.182,0.152,0.375,0.104,-0.03,NA,NA,NA,0.0128,0.615,NA,0.777,53.72,41.19,24932907000,771493000,3388708000
"LII","Lennox International Inc","TECHNOLOGY","AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP",25.51,2.183,24.06,3.83,19,4.029,0.151,0.184,0.206,1.421,0.165,0.362,NA,NA,NA,0.008,4.55,NA,1.141,681.22,443,20455481000,1129100000,5341300000
"SNPS","Synopsys Inc","TECHNOLOGY","SERVICES-PREPACKAGED SOFTWARE",53.76,7.17,7.42,11.36,39.38,10.85,0.347,0.173,0.0665,0.16,-0.037,-0.347,NA,NA,NA,NA,NA,NA,1.155,624.8,425.73,68996088000,1445152000,6071762000
"EIX","Edison International","ENERGY & TRANSPORTATION","ELECTRIC SERVICES",17.22,0.625,1.577,1.247,9.6,3.475,0.073,0.224,0.0289,0.072,0.075,-0.107,NA,NA,NA,0.0581,3.168,NA,0.88,87.71,49.06,21946368000,6.395e+09,17599001000
"SHW","Sherwin-Williams Co","TRADE & SERVICES","RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY",32.37,3.865,21.22,3.721,21.74,4.228,0.116,0.127,0.101,0.691,0.009,0.357,NA,NA,NA,0.0092,2.86,NA,1.231,399.55,280.39,85961089000,4.399e+09,23098499000
"FOX","Fox Corp Class B","TECHNOLOGY","TELEVISION BROADCASTING STATIONS",10.4,6.94,1.911,1.502,7.19,1.818,0.144,0.121,0.0812,0.201,0.199,2.574,NA,NA,NA,0.0111,0.53,NA,0.679,54.72,26.4,22810175000,3.381e+09,1.5181e+10
"NTAP","NetApp Inc","TECHNOLOGY","COMPUTER STORAGE DEVICES",17.03,1.314,19.08,2.917,11.02,2.916,0.175,0.227,0.0952,1.143,0.022,-0.027,NA,NA,NA,0.0226,2.06,NA,1.227,134.84,89.88,18982556000,1.619e+09,6.508e+09
"KMI","Kinder Morgan Inc","ENERGY & TRANSPORTATION","NATURAL GAS TRANSMISSION",23.16,2.42,1.972,3.988,13.62,6.08,0.173,0.287,0.0381,0.0855,-0.013,0.121,NA,NA,NA,0.0433,1.15,NA,0.935,31.15,16.64,60215116000,6.63e+09,1.51e+10
"PFG","Principal Financial Group Inc","FINANCE","ACCIDENT & HEALTH INSURANCE",12.39,1.5,1.684,1.158,NA,1.151,0.0974,0.232,0.0039,0.141,0.766,-0.057,NA,NA,NA,0.0372,2.85,NA,1.169,90.38,70.33,18672767000,2176100000,16127700000
"ZBRA","Zebra Technologies Corporation","TECHNOLOGY","GENERAL INDUSTRIAL MACHINERY & EQUIPMENT",27.4,1.017,3.996,2.878,16.85,3.17,0.106,0.171,0.0626,0.16,0.322,8.82,NA,NA,NA,NA,NA,NA,1.679,427.76,266.75,14333256000,9.37e+08,4.981e+09
"USB","U.S. Bancorp","FINANCE","NATIONAL COMMERCIAL BANKS",11.09,1.007,1.265,2.609,NA,5.04,0.251,0.35,0.0094,0.11,0.032,1.092,NA,NA,NA,0.0476,1.98,NA,1.041,53.42,36.55,65467580000,NA,25097001000
"KKR","KKR & Co LP","FINANCE","INVESTMENT ADVICE",34.65,0.498,4.082,3.958,3.797,1.608,0.116,0.368,0.0145,0.0815,-0.238,0.035,NA,NA,NA,0.0062,0.7,NA,1.714,170.19,91.39,104564621000,NA,26421799000
"FDS","FactSet Research Systems Inc","TECHNOLOGY","SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",31.25,2.362,8.34,7.45,20.15,7.99,0.242,0.343,0.112,0.292,0.049,0.013,NA,NA,NA,0.0095,4.1,NA,0.762,497.67,389.14,16613406000,847962000,2229507000
"MDLZ","Mondelez International Inc","MANUFACTURING","FOOD AND KINDRED PRODUCTS",18.8,5.93,3.089,2.283,12.42,2.75,0.127,0.172,0.0576,0.167,0.031,0.866,NA,NA,NA,0.0292,1.79,NA,0.512,74.98,53.95,83186909000,7.744e+09,36441002000
"NVR","NVR Inc","REAL ESTATE & CONSTRUCTION","OPERATIVE BUILDERS",14.29,4.886,4.957,1.953,8.92,1.828,0.157,0.201,0.206,0.392,0.164,0.151,NA,NA,NA,NA,NA,NA,1.254,9964.77,7020,20868342000,2160869000,10687461000
"NRG","NRG Energy Inc.","ENERGY & TRANSPORTATION","ELECTRIC SERVICES",19.12,2.4,10.34,0.672,8.44,1.051,0.04,0.144,0.057,0.418,0.002,0.431,NA,NA,NA,0.0185,1.663,NA,1.123,117.26,62.59,18893801000,3.492e+09,28130001000
"EMN","Eastman Chemical Company","LIFE SCIENCES","PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",11.87,1.457,1.815,1.118,8.14,1.564,0.0965,0.162,0.0579,0.16,0.017,0.079,NA,NA,NA,0.0365,3.26,NA,1.451,112.49,85.91,10489502000,1.892e+09,9.382e+09
"OMC","Omnicom Group Inc","TRADE & SERVICES","SERVICES-ADVERTISING AGENCIES",10.84,1.217,3.787,1.012,7.04,1.174,0.0944,0.15,0.0498,0.321,0.064,0.06,NA,NA,NA,0.0346,2.8,NA,1.002,105.28,78.69,15882369000,2520300000,15689100000
"UAL","United Airlines Holdings Inc","ENERGY & TRANSPORTATION","AIR TRANSPORTATION, SCHEDULED",7.8,0.772,1.903,0.423,5.09,0.758,0.0552,0.109,0.0458,0.286,0.078,0.626,NA,NA,NA,NA,NA,NA,1.414,116,37.02,24115137000,8.09e+09,57062998000
"DE","Deere & Company","TECHNOLOGY","FARM MACHINERY & EQUIPMENT",21.14,1.786,5.77,2.708,13.99,3.998,0.13,0.113,0.0496,0.278,-0.302,-0.488,NA,NA,NA,0.0136,6.03,NA,1.024,515.05,337.71,129600193000,1.0081e+10,47855002000
"FE","FirstEnergy Corporation","ENERGY & TRANSPORTATION","ELECTRIC SERVICES",23.43,1.129,1.844,1.729,11.43,3.48,0.0736,0.154,0.0289,0.0915,0.01,0.486,NA,NA,NA,0.0427,1.685,NA,0.466,44.04,35.3,22969844000,4.153e+09,1.3286e+10
"TXT","Textron Inc","MANUFACTURING","AIRCRAFT & PARTS",16.86,0.729,1.845,0.97,10.86,1.127,0.0601,0.0567,0.0408,0.116,0.025,-0.126,NA,NA,NA,0.0011,0.08,NA,1.268,97.24,70.12,13292841000,1.481e+09,1.3702e+10
"MMC","Marsh & McLennan Companies Inc","FINANCE","INSURANCE AGENTS, BROKERS & SERVICE",28.34,2.453,8.52,4.649,19.23,5.45,0.166,0.246,0.0775,0.318,0.092,0.044,NA,NA,NA,0.0141,3.155,NA,0.943,241.84,193.99,113711563000,7.226e+09,2.4458e+10
"WMT","Walmart Inc","TRADE & SERVICES","RETAIL-VARIETY STORES",35.41,2.672,7.53,1.007,17.54,1.082,0.0285,0.0441,0.0719,0.214,0.041,-0.035,NA,NA,NA,0.011,0.83,NA,0.537,105.3,58.06,685649822000,42476999000,680984969000
"LH","Laboratory Corporation of America Holdings","LIFE SCIENCES","SERVICES-MEDICAL LABORATORIES",27.1,0.486,2.49,1.541,14.25,1.984,0.0574,0.0693,0.0405,0.0936,0.098,-0.052,NA,NA,NA,0.012,2.88,NA,1.107,258.59,190.25,20048660000,1701400000,13008900000
"EQIX","Equinix Inc","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS",99.02,7.2,6.03,9.33,28.16,11.08,0.0933,0.177,0.0297,0.0625,0.069,0.058,NA,NA,NA,0.0224,17.04,NA,0.734,988.89,670.3,81533067000,3.625e+09,8.737e+09
"ROST","Ross Stores Inc","TRADE & SERVICES","RETAIL-FAMILY CLOTHING STORES",19.65,1.654,7.44,1.94,13.83,1.984,0.099,0.124,0.111,0.403,-0.018,-0.02,NA,NA,NA,0.013,1.47,NA,1.156,162.82,122.77,40980480000,3032374000,21129218000
"PAYX","Paychex Inc","TRADE & SERVICES","SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT",30.55,4.104,13.34,9.75,21.12,9.68,0.32,0.409,0.123,0.462,0.047,0.056,NA,NA,NA,0.027,3.83,NA,0.981,158.37,111.41,52367565000,2387500000,5369800000
"SYY","Sysco Corporation","TRADE & SERVICES","WHOLESALE-GROCERIES & RELATED PRODUCTS",18.79,1.274,17.8,0.445,11.53,0.605,0.024,0.0385,0.0885,0.865,0.045,0,NA,NA,NA,0.0278,2.03,NA,1.115,81.68,68.04,35845882000,4.466e+09,80569999000
"VLTO","Veralto Corporation","LIFE SCIENCES","INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS",29.33,NA,11.9,4.669,20.29,4.99,0.16,0.231,0.125,0.485,0.044,0.122,NA,NA,NA,0.0045,0.38,NA,NA,114.88,85.67,24247620000,1.287e+09,5.193e+09
"RCL","Royal Caribbean Cruises Ltd","ENERGY & TRANSPORTATION","WATER TRANSPORTATION",19.38,0.853,7.54,3.461,12.73,4.701,0.174,0.166,0.0713,0.458,0.129,0.899,NA,NA,NA,0.0141,0.95,NA,2.544,276.12,124.05,57060729000,5.718e+09,1.6485e+10
"OTIS","Otis Worldwide Corp","MANUFACTURING","ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP)",24.72,2.501,13.2,2.798,20.76,3.249,0.115,0.158,0.137,0,0.015,0.062,NA,NA,NA,0.0155,1.51,NA,0.95,106.83,89.12,39897743000,2.531e+09,1.4261e+10
"MPC","Marathon Petroleum Corp","ENERGY & TRANSPORTATION","PETROLEUM REFINING",14,15.65,2.486,0.317,6.57,0.502,0.0247,0.0267,0.0437,0.181,-0.091,-0.704,NA,NA,NA,0.0258,3.47,NA,1.376,216.51,129.79,44120101000,9.095e+09,139336008000
"TYL","Tyler Technologies Inc","TECHNOLOGY","SERVICES-PREPACKAGED SOFTWARE",93.43,2.928,7.15,11.34,51.67,11.27,0.123,0.186,0.0417,0.0832,0.125,0.634,NA,NA,NA,NA,NA,NA,0.8,661.31,397.8,24233116000,414592000,2137803000
"FI","Fiserv, Inc.","TECHNOLOGY","SERVICES-COMPUTER PROCESSING & DATA PREPARATION",39.82,0.985,4.45,5.89,16.31,7.05,0.153,0.318,0.0437,0.109,0.068,0.137,NA,NA,NA,NA,NA,NA,0.928,238.59,145.98,120458240000,8.974e+09,20455999000
"FIS","Fidelity National Information Services Inc","TRADE & SERVICES","SERVICES-BUSINESS SERVICES, NEC",49.92,0.623,2.392,3.708,14.26,4.765,0.143,0.0947,0.0269,0.0455,0.034,0.234,NA,NA,NA,0.0226,1.44,NA,1.116,91.08,65.47,37549867000,2.725e+09,1.0127e+10
"UHS","Universal Health Services Inc","LIFE SCIENCES","SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC",9.97,1.87,1.635,0.689,6.93,0.994,0.0722,0.116,0.0741,0.179,0.111,0.568,NA,NA,NA,0.0048,0.8,NA,1.319,242.73,152.07,10898886000,2269803000,15827935000
"VTR","Ventas Inc","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS",352.05,1.826,2.715,5.98,21.73,8.55,0.0166,0.16,0.018,0.0084,0.109,-0.816,NA,NA,NA,0.0287,1.8,NA,1.401,71.04,40.48,29240293000,1875023000,4889015000
"ERIE","Erie Indemnity Company","FINANCE","INSURANCE AGENTS, BROKERS & SERVICE",36.78,3.05,11.09,5.81,NA,5.63,0.158,0.198,0.166,0.329,0.13,0.373,NA,NA,NA,0.013,5.19,NA,0.384,543.88,341.93,22041762000,766338000,3795115000
"WRB","W. R. Berkley Corp","FINANCE","FIRE, MARINE & CASUALTY INSURANCE",14.5,15.91,2.856,1.758,NA,1.82,0.129,0.193,0.0376,0.221,0.139,0.471,NA,NA,NA,0.0051,0.31,NA,0.641,64.78,49.51,23978459000,1918053000,13638752000
"EQT","EQT Corporation","ENERGY & TRANSPORTATION","CRUDE PETROLEUM & NATURAL GAS",112.71,0.407,1.471,6.01,13.7,7.56,0.0457,0.394,0.0066,0.0124,0.313,-0.386,NA,NA,NA,0.0124,0.63,NA,1.119,56.66,29.65,30302210000,2506660000,5041956000
"MSCI","MSCI Inc","TRADE & SERVICES","SERVICES-BUSINESS SERVICES, NEC",39.54,2.498,NA,15.07,27.04,16.55,0.388,0.542,0.175,0,0.077,-0.231,NA,NA,NA,0.013,6.4,NA,1.186,640.43,434.74,43046384000,1654200000,2856128000
"GD","General Dynamics Corporation","MANUFACTURING","SHIP & BOAT BUILDING & REPAIRING",19.22,1.981,3.211,1.485,13.72,1.673,0.0793,0.102,0.0539,0.174,0.143,0.141,NA,NA,NA,0.0229,5.68,NA,0.586,315.23,239.87,70840074000,5.593e+09,4.7716e+10
"GPN","Global Payments Inc","TRADE & SERVICES","SERVICES-BUSINESS SERVICES, NEC",15.3,0.573,1.04,2.293,8.58,3.706,0.155,0.258,0.0326,0.0703,0.034,0.625,NA,NA,NA,0.0106,1,NA,1.047,135.02,90.74,23171355000,4402310000,10105894000
"STT","State Street Corp","FINANCE","STATE COMMERCIAL BANKS",10.57,0.913,1.113,1.938,NA,1.304,0.208,0.298,0.0083,0.109,0.125,3.417,NA,NA,NA,0.035,2.9,NA,1.467,103,68.41,25041992000,NA,1.2925e+10
"GS","Goldman Sachs Group Inc","FINANCE","SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",13.35,3.24,1.547,3.226,NA,2.791,0.274,0.379,0.0086,0.119,0.259,1.181,NA,NA,NA,0.0222,11.5,NA,1.362,668.87,375.13,168264810000,NA,52164002000
"PTC","PTC Inc","TECHNOLOGY","SERVICES-PREPACKAGED SOFTWARE",47.79,1.699,5.8,8.1,28.03,8.76,0.17,0.205,0.0594,0.13,0.027,0.236,NA,NA,NA,NA,NA,NA,1.22,203.09,151.8,18746479000,6.93e+08,2313386000
"ECL","Ecolab Inc","LIFE SCIENCES","SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",34.01,2.253,8.11,4.512,20.29,4.958,0.134,0.147,0.0755,0.253,0.178,0.065,NA,NA,NA,0.0104,2.36,NA,1.144,273.69,215.49,71020929000,3605500000,15741400000
"MNST","Monster Beverage Corp","MANUFACTURING","BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS",36.97,2.031,9,7.16,26.09,7,0.201,0.281,0.148,0.213,0.047,-0.211,NA,NA,NA,NA,NA,NA,0.711,61.2,43.32,53611327000,2137828000,7492709000
"RL","Ralph Lauren Corp Class A","MANUFACTURING","MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",20.08,1.69,5.36,1.958,12.13,2.036,0.101,0.181,0.0794,0.276,0.108,0.112,NA,NA,NA,0.015,3.225,NA,1.522,289.33,154.76,13607270000,1114700000,6949600000
"LVS","Las Vegas Sands Corp","REAL ESTATE & CONSTRUCTION","HOTELS & MOTELS",22.04,0.956,10.72,2.737,10.12,3.631,0.128,0.207,0.0722,0.482,-0.007,-0.109,NA,NA,NA,0.0232,0.85,NA,1.082,56.28,36.07,30921230000,3.762e+09,1.1298e+10
"WST","West Pharmaceutical Services Inc","MANUFACTURING","FABRICATED RUBBER PRODUCTS, NEC",34.34,3.94,6.2,5.75,22.12,5.69,0.17,0.229,0.0993,0.177,0.023,-0.021,NA,NA,NA,0.0037,0.81,NA,1.086,399.89,197.01,16637827000,7.49e+08,2893200000
"GM","General Motors Company","MANUFACTURING","MOTOR VEHICLES & PASSENGER CAR BODIES",7.59,1.236,0.763,0.257,6.97,0.809,0.0321,0.025,0.0288,0.0891,0.11,0.218,NA,NA,NA,0.0099,0.48,NA,1.434,60.95,38.68,48098394000,18688999000,187442004000
"V","Visa Inc. Class A","TRADE & SERVICES","SERVICES-BUSINESS SERVICES, NEC",33.45,2.183,17.12,17.39,25.11,17.59,0.543,0.687,0.167,0.512,0.101,0.078,NA,NA,NA,0.0071,2.22,NA,0.949,366.54,251.29,640045482000,2.5575e+10,36801999000
"NWSA","News Corp A","MANUFACTURING","NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING",35.97,1.242,1.877,1.566,10.58,1.68,0.0404,0.165,0.0343,0.0619,0.048,0.383,NA,NA,NA,0.0074,0.2,NA,1.355,30.58,22.48,16051939000,1.35e+09,1.0253e+10
"PCG","PG&E Corp","ENERGY & TRANSPORTATION","ELECTRIC & OTHER SERVICES COMBINED",14.59,1.024,1.288,1.507,10.03,3.923,0.101,0.178,0.0247,0.0889,-0.058,-0.303,NA,NA,NA,0.006,0.055,NA,1.045,21.69,14.99,36808274000,9.313e+09,2.4419e+10
"SRE","Sempra Energy","ENERGY & TRANSPORTATION","GAS & OTHER SERVICES COMBINED",15.88,3.134,1.508,3.469,14.46,6.14,0.217,0.258,0.0195,0.098,0.076,-0.102,NA,NA,NA,0.0367,2.48,NA,0.776,95.12,64.89,45738799000,5.298e+09,1.3185e+10
"NKE","Nike Inc","MANUFACTURING","RUBBER & PLASTICS FOOTWEAR",22.12,5.87,7.55,2.164,17.14,2.211,0.0998,0.112,0.0984,0.347,-0.077,-0.243,NA,NA,NA,0.0223,1.51,NA,1.021,100.04,68.27,105994461000,6.761e+09,48978002000
"QCOM","Qualcomm Incorporated","MANUFACTURING","RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT",16.89,1.548,6.44,4.255,12.95,4.262,0.259,0.305,0.126,0.42,0.175,0.15,NA,NA,NA,0.0217,3.35,NA,1.289,227.03,148.63,173177487000,1.2585e+10,40696001000
"GIS","General Mills Inc","MANUFACTURING","GRAIN MILL PRODUCTS",12.95,3.467,3.568,1.65,10.91,2.264,0.131,0.209,0.0733,0.275,0.02,0.392,NA,NA,NA,0.0403,2.38,NA,0.055,74.5,55.15,32831318000,4344500000,19901301000
